N,g,accuracy(bits)
12,0.5,9
12,1.0,16
12,1.5,23
12,2.0,26
12,2.5,33
12,3.0,36
12,3.5,39
12,4.0,44
12,4.5,47
12,5.0,49
12,5.5,51
12,6.0,56
12,6.5,55
12,7.0,56
12,7.5,59
12,8.0,63
12,8.5,61
12,9.0,62
12,9.5,63
12,10.0,65
12,10.5,66
12,11.0,68
12,11.5,70
12,12.0,72
12,12.5,70
12,13.0,70
12,13.5,61
13,4.0,45
13,4.5,48
13,5.0,50
13,5.5,54
13,6.0,57
13,6.5,57
13,7.0,59
13,7.5,63
13,8.0,64
13,8.5,64
13,9.0,66
13,9.5,68
13,10.0,73
13,10.5,70
13,11.0,70
13,11.5,70
13,12.0,72
13,12.5,73
13,13.0,73
13,13.5,74
13,14.0,74
13,14.5,68
14,13.0,82
14,13.5,80
14,14.0,81
14,14.5,83
14,15.0,84
14,15.5,75
15,14.5,84
15,15.0,85
15,15.5,85
15,16.0,86
15,16.5,82
15,17.0,72
16,15.5,92
16,16.0,93
16,16.5,93
16,17.0,95
16,17.5,89
17,16.5,96
17,17.0,97
17,17.5,97
17,18.0,98
17,18.5,97
17,19.0,86
18,17.0,103
18,17.5,104
18,18.0,104
18,18.5,103
18,19.0,103
18,19.5,102
18,20.0,93
19,16.5,105
19,17.0,105
19,17.5,105
19,18.0,103
19,18.5,103
19,19.0,103
19,19.5,102
19,20.0,102
19,20.5,101
20,15.0,108
20,15.5,108
20,16.0,108
20,16.5,106
20,17.0,105
20,17.5,105
20,18.0,105
20,18.5,103
21,12.5,104
21,13.0,105
21,13.5,109
21,14.0,109
21,14.5,108
21,15.0,109
21,15.5,108
21,16.0,108
21,16.5,106
22,10.5,97
22,11.0,98
22,11.5,106
22,12.0,104
22,12.5,107
22,13.0,109
22,13.5,112
22,14.0,110
22,14.5,109
23,10.0,96
23,10.5,99
23,11.0,102
23,11.5,105
23,12.0,106
23,12.5,109
23,13.0,112
23,13.5,111
23,14.0,110
24,10.5,99
24,11.0,104
24,11.5,105
24,12.0,107
24,12.5,110
24,13.0,113
24,13.5,111
24,14.0,109
24,14.5,109
25,11.0,105
25,11.5,108
25,12.0,110
25,12.5,112
25,13.0,111
25,13.5,110
25,14.0,109
25,14.5,110
25,15.0,108
26,10.5,103
26,11.0,110
26,11.5,109
26,12.0,111
26,12.5,112
26,13.0,111
26,13.5,111
26,14.0,111
26,14.5,109
27,10.0,101
27,10.5,104
27,11.0,110
27,11.5,109
27,12.0,113
27,12.5,113
27,13.0,112
27,13.5,111
27,14.0,110
28,9.5,99
28,10.0,102
28,10.5,106
28,11.0,110
28,11.5,112
28,12.0,113
28,12.5,113
28,13.0,111
28,13.5,111
29,10.0,102
29,10.5,107
29,11.0,111
29,11.5,112
29,12.0,113
29,12.5,113
29,13.0,111
29,13.5,110
29,14.0,110
30,10.0,105
30,10.5,108
30,11.0,111
30,11.5,113
30,12.0,113
30,12.5,111
30,13.0,112
30,13.5,112
30,14.0,110
31,9.5,103
31,10.0,105
31,10.5,111
31,11.0,113
31,11.5,114
31,12.0,113
31,12.5,113
31,13.0,112
31,13.5,110
32,9.0,100
32,9.5,103
32,10.0,105
32,10.5,113
32,11.0,114
32,11.5,114
32,12.0,114
32,12.5,113
32,13.0,111
33,8.5,96
33,9.0,103
33,9.5,103
33,10.0,108
33,10.5,114
33,11.0,114
33,11.5,113
33,12.0,113
33,12.5,111
34,8.5,98
34,9.0,104
34,9.5,106
34,10.0,109
34,10.5,116
34,11.0,114
34,11.5,113
34,12.0,113
34,12.5,112
35,8.0,95
35,8.5,98
35,9.0,107
35,9.5,106
35,10.0,109
35,10.5,116
35,11.0,115
35,11.5,114
35,12.0,113
36,8.5,98
36,9.0,107
36,9.5,106
36,10.0,110
36,10.5,115
36,11.0,115
36,11.5,113
36,12.0,112
36,12.5,112
37,8.5,100
37,9.0,107
37,9.5,107
37,10.0,112
37,10.5,115
37,11.0,114
37,11.5,114
37,12.0,113
37,12.5,112
38,8.5,101
38,9.0,107
38,9.5,107
38,10.0,112
38,10.5,115
38,11.0,115
38,11.5,114
38,12.0,113
38,12.5,112
39,8.5,102
39,9.0,107
39,9.5,108
39,10.0,113
39,10.5,115
39,11.0,115
39,11.5,114
39,12.0,113
39,12.5,112
40,8.5,102
40,9.0,108
40,9.5,110
40,10.0,115
40,10.5,115
40,11.0,114
40,11.5,114
40,12.0,114
40,12.5,113
41,8.0,99
41,8.5,102
41,9.0,109
41,9.5,111
41,10.0,116
41,10.5,115
41,11.0,115
41,11.5,114
41,12.0,112
42,7.5,98
42,8.0,99
42,8.5,104
42,9.0,109
42,9.5,111
42,10.0,116
42,10.5,116
42,11.0,115
42,11.5,114
43,8.0,99
43,8.5,105
43,9.0,109
43,9.5,111
43,10.0,117
43,10.5,116
43,11.0,115
43,11.5,113
43,12.0,114
44,8.0,100
44,8.5,105
44,9.0,109
44,9.5,114
44,10.0,117
44,10.5,116
44,11.0,114
44,11.5,114
44,12.0,113
45,8.0,100
45,8.5,105
45,9.0,110
45,9.5,114
45,10.0,116
45,10.5,115
45,11.0,113
45,11.5,115
45,12.0,113
46,8.0,101
46,8.5,107
46,9.0,110
46,9.5,114
46,10.0,117
46,10.5,116
46,11.0,114
46,11.5,114
46,12.0,114
47,8.0,101
47,8.5,108
47,9.0,112
47,9.5,114
47,10.0,116
47,10.5,116
47,11.0,115
47,11.5,114
47,12.0,113
48,8.0,103
48,8.5,109
48,9.0,112
48,9.5,115
48,10.0,116
48,10.5,115
48,11.0,113
48,11.5,114
48,12.0,113
49,8.0,103
49,8.5,108
49,9.0,112
49,9.5,115
49,10.0,116
49,10.5,116
49,11.0,114
49,11.5,114
49,12.0,113
50,8.0,101
50,8.5,107
50,9.0,109
50,9.5,113
50,10.0,117
50,10.5,116
50,11.0,114
50,11.5,113
50,12.0,113
51,8.0,99
51,8.5,105
51,9.0,107
51,9.5,111
51,10.0,116
51,10.5,116
51,11.0,115
51,11.5,113
51,12.0,112
52,8.0,98
52,8.5,102
52,9.0,106
52,9.5,108
52,10.0,117
52,10.5,115
52,11.0,114
52,11.5,114
52,12.0,113
53,8.0,96
53,8.5,101
53,9.0,104
53,9.5,107
53,10.0,117
53,10.5,114
53,11.0,115
53,11.5,114
53,12.0,113
54,8.0,93
54,8.5,99
54,9.0,102
54,9.5,104
54,10.0,113
54,10.5,113
54,11.0,115
54,11.5,114
54,12.0,113
55,9.0,100
55,9.5,104
55,10.0,110
55,10.5,109
55,11.0,114
55,11.5,111
55,12.0,112
55,12.5,113
55,13.0,113
