N,g,accuracy(bits)
76,60.0,426
76,60.5,428
76,61.0,431
76,61.5,434
76,62.0,433
76,62.5,434
76,63.0,435
76,63.5,437
76,64.0,439
76,64.5,442
76,65.0,445
76,65.5,445
76,66.0,445
76,66.5,447
76,67.0,448
76,67.5,449
76,68.0,450
76,68.5,451
76,69.0,452
76,69.5,454
76,70.0,458
76,70.5,460
76,71.0,461
76,71.5,462
76,72.0,461
76,72.5,462
76,73.0,464
76,73.5,465
76,74.0,466
76,74.5,468
76,75.0,467
76,75.5,469
76,76.0,471
76,76.5,471
76,77.0,472
76,77.5,474
76,78.0,477
76,78.5,477
76,79.0,481
76,79.5,483
76,80.0,482
76,80.5,481
76,81.0,469
77,71.5,462
77,72.0,464
77,72.5,465
77,73.0,467
77,73.5,468
77,74.0,469
77,74.5,470
77,75.0,472
77,75.5,474
77,76.0,473
77,76.5,475
77,77.0,477
77,77.5,477
77,78.0,478
77,78.5,480
77,79.0,481
77,79.5,482
77,80.0,484
77,80.5,485
77,81.0,486
77,81.5,487
77,82.0,477
78,81.5,494
78,82.0,499
78,82.5,496
78,83.0,484
79,81.5,494
79,82.0,496
79,82.5,497
79,83.0,497
79,83.5,499
79,84.0,492
80,83.0,502
80,83.5,504
80,84.0,507
80,84.5,510
80,85.0,499
81,83.5,506
81,84.0,508
81,84.5,510
81,85.0,511
81,85.5,512
81,86.0,508
81,86.5,494
82,85.0,514
82,85.5,516
82,86.0,517
82,86.5,519
82,87.0,515
82,87.5,502
83,85.5,519
83,86.0,521
83,86.5,522
83,87.0,523
83,87.5,524
83,88.0,522
83,88.5,509
84,86.5,525
84,87.0,526
84,87.5,528
84,88.0,529
84,88.5,530
84,89.0,531
84,89.5,518
